Quote,Author
"“God turns you from one feeling to another and teaches by means of opposites so that you will have two wings to fly, not one”",Rumi
"“It only takes a split second to smile and forget, yet to someone that needed it, it can last a lifetime.”",Steve Maraboli
“Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.”,Roy T. Bennett
"“I believe in God, only I spell it Nature.”",Frank Lloyd Wright
"“To truly laugh, you must be able to take your pain, and play with it.”",Charlie Chaplin
“Love yourself first and everything else falls into line. Your really have to love yourself to get anything done in this world.”,Lucille Ball
“The only difference between you and God is that you have forgotten you are divine.”,Dan Brown
"“Love the trees until their leaves fall off, then encourage them to try again next year.”",Chad Sugg
"“Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”",Steve Maraboli
"“You need to find a way to live your life, that it doesn't make a mockery of your values.”",Bill Ayers
“The greatest discovery of any generation is that a human can alter his life by altering his attitude.”,William James
"“A dead thing can go with the stream, but only a living thing can go against it.”",G.K. Chesterton
"“Yesterday is not ours to recover, but tomorrow is ours to win or lose.”",Lyndon B. Johnson
“Life is short. Focus on what really matters most. You have to change your priorities over time.”,Roy T. Bennett
"“To care about your outward appearance is important, but what’s more important is to have a beautiful soul.”",Roy T. Bennett
“A man who does not think for himself does not think at all.”,Oscar Wilde
"“Don't limit a child to your own learning, for she was born in another time.”",Rabindranath Tagore
"“If they don't like you for being yourself, be yourself even more.”",Taylor Swift
“Stop doing what is easy or popular. Start doing what is right.”,Roy T. Bennett
“Live fast. Die young. Be wild. Have fun.”,Lana Del Rey
"“Free at last, Free at last, Thank God almighty we are free at last.”",Martin Luther King Jr.
“Life is wasted on the living.”,Douglas Adams
“One of the best ways to influence people is to make them feel important.”,Roy T. Bennett
"“If you don't love yourself, how in the hell you gonna love somebody else?”",RuPaul
"“Pegang tanganku, tapi jangan terlalu erat, karena aku ingin seiring dan bukan digiring.(Spasi)”",Dee
"“Scars are not injuries, Tanner Sack. A scar is a healing. After injury, a scar is what makes you whole.”",China Miéville
"“If you care about what you do and work hard at it, there isn't anything you can't do if you want to.”",Jim Henson
"“My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.”",Steve Maraboli
"“All men want, not something to do with, but something to do, or rather something to be.”",Henry David Thoreau
"“I long to accomplish a great and noble task, but it is my chief duty to accomplish small tasks as if they were great and noble.”",Helen Keller
"“When a stargirl cries, she sheds not tears but light.”",Jerry Spinelli
“It is not uncommon for people to spend their whole life waiting to start living.”,Eckhart Tolle
"“To learn something new, you need to try new things and not be afraid to be wrong.”",Roy T. Bennett
“Children betrayed their parents by becoming their own people.”,Leslye Walton
“Intellectual growth should commence at birth and cease only at death.”,Albert Einstein
"“If you can't run, you crawl. If you can't crawl-- you find someone to carry you.”",Joss Whedon
"“Sometimes, as we're stumbling along in the dark, we hit something good.”",Susan Ee
"“I try to avoid looking forward or backward, and try to keep looking upward.”",Charlotte Bronte
“We all have two lives. The second one starts when we realize that we only have one.”,Tom Hiddleston
"“Life's like a movie, write your own ending. Keep believing, keep pretending.”",Jim Henson
"“If I must fall, may it be from a high place.”",Paulo Coelho
"“Remake the world, a little at a time, each in your own corner of the world.”",Rick Riordan
"“As we go through life we gradually discover who we are, but the more we discover, the more we lose ourselves.”",Haruki Murakami
“Rock bottom became the solid foundation on which I rebuilt my life.”,J.K. Rowling
“First you jump off the cliff and build your wings on the way down.”,Ray Bradbury
“الحزن عنصر ضروري لنكون بشراً، أما السعادة فشيء استثنائي، وجوده أو عدمه لا يؤثر في إنسانيتنا”,محمد حسن علوان
"“Always be yourself, there's no one better!”",Selena Gomez
"“Just because someone desires you, it does not mean that they value you.


Read it over.

Again.

Let those words resonate in your mind.”",Nayyirah Waheed
"“Every day People straighten up the hair, why not the heart?”",che guevara
“Happiness is always there. You just have to choose to see it. There's no point dwelling in the dark and ignoring the light of the stars.”,Carrie Hope Fletcher
"“I cannot compromise my respect for your love. You can keep your love, I will keep my respect.”",Amit Kalantri
“Life is essentially an endless series of problems. The solution to one problem is merely the creation of another.”,Mark Manson
"“The absence of the will to live is, alas, not sufficient to make one want to die.”",Michel Houellebecq
“With great power comes great responsibility.”,Stan Lee
“Consistency is the true foundation of trust. Either keep your promises or do not make them.”,Roy T. Bennett
“Nothing ever really goes away--it just changes into something else. Something beautiful.”,Sarah Ockler
"“We dance round in a ring and suppose,
But the Secret sits in the middle and knows.”",Robert Frost
“One mistake does not have to rule a person's entire life.”,Joyce Meyer
“The function of freedom is to free someone else.”,Toni Morrison
“لا يكن تأخر العطاء مع الالحاح في الدعاء موجباً ليأسك ، فهو ضمن لك الاجابة فيما يختاره لك لا فيما تختاره لنفسك”,أحمد بن عطاء الله السكندري
“Only the gentle are ever really strong.”,James Dean
"“Are you on our side...and want to be different, or are you on that side and want to throw a football at my head!?”",Gerard Way
“Life teaches us the right path is rarely the easy one.”,Roy T. Bennett
"“Stay strong, stay positive, and never give up.”",Roy T. Bennett
“Gossip is just a tool to distract people who have nothing better to do from feeling jealous of those few of us still remaining with noble hearts.”,Anna Godbersen
“It’s strange how dreams get under your skin and give your heart a test for what’s real and what’s imaginary.”,Jason Mraz
"“The splendid thing
about falling apart
silently...
is that
you can start over
as many times
as you like.”",Sanober Khan
“Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.”,Roy T. Bennett
“It is during our darkest moments that we must focus to see the light.”,Aristotle
"“I love you, in my mind where my thoughts reside, in my heart where my emotions live, and in my soul where my dreams are born. I love you.”",Dee Henderson
"“Chaos is more freedom; in fact, total freedom. But no meaning. I want to be free to act, and I also want my actions to mean something.”",Audrey Niffenegger
"“Don't give up the fight,
Stand up for your rights.”",Bob Marley
"“If you can't you must, and if you must you can.”",Anthony Robbins
“No one is ever satisfied where he is.”,Antoine de Saint-Exupéry
"“Anyone who knows me, should learn to know me again;
For I am like the Moon,
you will see me with new face everyday.”",Rumi
“Sticking feathers up your butt does not make you a chicken!”,Chuck Palahniuk
"“When I hear music, I fear no danger. I am invulnerable. I see no foe. I am related to the earliest times, and to the latest.”",HENRY DAVID THOREAU
"“Life,” said Marvin dolefully, “loathe it or ignore it, you can’t like it.”",Douglas Adams
“Written words can also sing.”,Ngũgĩ wa Thiong’o
“Be with someone who inspires you and makes you be the best version of yourself.”,Roy T. Bennett
“The greatest step towards a life of simplicity is to learn to let go.”,Steve Maraboli
“The right thing at the wrong tme is the wrong thing.”,Joshua Harris
"“Awake, arise or be for ever fall’n.”",John Milton
“There is nothing more beautiful than seeing a person being themselves. Imagine going through your day being unapologetically you.”,Steve Maraboli
"“I am who I am; no more, no less.”",Terry Goodkind
"“Indeed, learning to write may be part of learning to read. For all I know, writing comes out of a superior devotion to reading.”",Eudora Welty
"“Facing it, always facing it, that’s the way to get through. Face it.”",Conrad Joseph
“it is impossible to build one's own happiness on the unhappiness of others. This perspective is at the heart of Buddhist teachings.”,Daisaku Ikeda
"“Ah, but a man's reach should exceed his grasp,
Or what's a heaven for?”",Robert Browning
"“Dream your own dreams, achieve your own goals. Your journey is your own and unique.”",Roy T. Bennett
“You don't need anybody to tell you who you are or what you are. You are what you are!”,John Lennon
“Anything is possible. Anything can be.”,Shel Silverstein
"“You can’t go back and make a new start, but you can start right now and make a brand new ending.”",James R. Sherman
"“That which we persist in doing becomes easier to do, not that the nature of the thing has changed but that our power to do has increased.”",Ralph Waldo Emerson
"“no matter how ugly the world gets or how stupid it shows me it is, I always have faith”",Gerard Way
“You have every right to a beautiful life.”,Selena Gomez
"“Every person, all the events of your life are there because you have drawn them there. What you choose to do with them is up to you.”",Richard Bach
“No man ever threw away life while it was worth keeping.”,David Hume
“How much you can learn when you fail determines how far you will go into achieving your goals.”,Roy T. Bennett
“Push your boundaries beyond the ordinary; be that “extra” in “extraordinary.”,Roy T. Bennett
“Anything under God's control is never out of control.”,Charles Swindoll
"“Next to trying and winning, the best thing is trying and failing.”",Lucy Maud Montgomery
“Myth is much more important and true than history. History is just journalism and you know how reliable that is.”,Joseph Campbell
"“a wind has blown the rain away & the sky away & all the leaves away, & the trees stand. i think i, too, have known autumn too long.”",e.e. cummings
“We could never learn to be brave and patient if there were only joy in the world”,Helen Keller
“Give up to grace. The ocean takes care of each wave 'til it gets to shore. You need more help than you know.”,Rumi
“Tolerance of intolerance is cowardice.”,Ayaan Hirsi Ali
“For all those that have to fight for the respect that everyone else is given without question.”,N.K. Jemisin
"“Death is the easy part, the hard part is living and knowing you could be so much more then you’re willing to be.”",robert m drake
"“Courage does not always roar. Sometimes courage is the quiet voice at the end of the day saying, 'I will try again tomorrow.”",Mary Anne Radmacher
"“When your will is God's will, you will have your will.”",Charles Spurgeon
"“No, our science is no illusion. But an illusion it would be to suppose that what science cannot give us we can get elsewhere.”",Sigmund Freud
“Anxiety is the handmaiden of creativity”,T.S. Eliot
"“If the only prayer you say throughout your life is ""Thank You,"" then that will be enough.”",Elie Wiesel
"“Call him Voldemort, Harry. Always use the proper name for things. Fear of a name increases fear of the thing itself.”",J.K. Rowling
“It serves me right for putting all my eggs in one bastard.”,Dorothy Parker
“Let us live so that when we come to die even the undertaker will be sorry.”,Mark Twain
"“All the problem of women, starts with men. All the problem of men, ends with women.”",Santosh Kalwar
"“Change course, but don’t give up.”",Roy T. Bennett
“Do your own thing on your own terms and get what you came here for”,Oliver James
"“The language of Friendship is not words, but meanings.”",Henry David Thoreau
“Don't marry a rich man. Marry a good man. He will spend his life trying to keep you happy. No rich man can buy that!”,Staness Jonekos
"“The beauty of the world...has two edges, one of laughter, one of anguish, cutting the heart asunder.”",Virginia Woolf
"“Early to bed and early to rise makes a man healthy, wealthy, and wise.”",Benjamin Franklin
“Love those you hate you.”,Leo Tolstoy
“God is subtle but he is not malicious.”,Albert Einstein
“It is not worth the while to let our imperfections disturb us always.”,Henry David Thoreau
"“I wonder,” he said, “whether the stars are set alight in heaven so that one day each one of us may find his own again...”",Antoine de Saint-Exupéry
“Grace is the face that love wears when it meets imperfection.”,Joseph R. Cooke
"“When you're screwing up and nobody says anything to you anymore, that means they've given up on you.”",Randy Pausch
"“أعتقد يعني ان الدليل على ان روحك بتكبر فعلا هو ان مفاهيمك تتغير. مش مبادئك, مفاهيمك.”",أحمد العسيلي
"“With your head full of brains and your shoes full of feet, you're too smart to go down any not-so-good street.”",Dr. Seuss
"“We are all of us born with a letter inside us, and that only if we are true to ourselves, may we be allowed to read it before we die.”",Douglas Coupland
"“If you surrendered to the air, you could ride it.”",Toni Morrison
"“If you're not comfortable enough with yourself or with your own truth when entering a relationship, then you're not ready for that relationship.”",Steve Maraboli
“It is much easier to be brave if you do not know everything.”,Lois Lowry
"“that as long as we are being remembered, we remain alive.”",Carlos Ruiz Zafon
"“A Nation should not be judged by how it treats its highest citizens, but it's lowest ones”",Nelson Mandela
"“In case you never get a second chance: don't be afraid!"" ""And what if you do get a second chance?"" ""You take it!”",C. JoyBell C.
"“Be comforted, dear soul! There is always light behind the clouds.”",Louisa May Alcott
"“Always forgive, but never forget, else you will be a prisoner of your own hatred, and doomed to repeat your mistakes forever.”",Wil Zeus
"“When you take risks you learn that there will be times when you succeed and there will be times when you fail, and both are equally important.”",Ellen DeGeneres
“I believe in the immeasurable power of love; that true love can endure any circumstance and reach across any distance.”,Steve Maraboli
“The purpose of literature is to turn blood into ink.”,T.S. Eliot
“What we achieve inwardly will change outer reality.”,Otto Rank
"“The harder you fall, the heavier your heart; the heavier your heart, the stronger you climb; the stronger you climb, the higher your pedestal.”",Criss Jami
“Make voyages. Attempt them. There's nothing else.”,Tennesse Williams
"“Dream, Dream Dream
Dreams transform into thoughts
And thoughts result in action.”",APJ ABDUL KALAM
“Collective madness is called sanity ..”,Paulo Coelho
"“Great men are like eagles, and build their nest on some lofty solitude”",Arthur Schopenhauer
“No one has ever achieved greatness without dreams.”,Roy T. Bennett
“Live boldly. Push yourself. Don't settle.”,Jojo Moyes
"“Millions saw the apple fall, Newton was the only one who asked why?”",Bernard M. Baruch
"“We judge ourselves by what we feel capable of doing, while others judge us by what we have already done.”",Henry Wadsworth Longfellow
"“All the time you're saying to yourself, 'I could do that, but I won't,' — which is just another way of saying that you can't.”",Richard P. Feynman
"“We hunt the flame, the light in the darkness, the good this world deserves.”",Hafsah Faizal
"“If it sounds like writing, I rewrite it.”",Elmore Leonard
"“Don't find fault, find a remedy; anybody can complain”",Henry Ford
“Laughter is carbonated holiness.”,Anne Lamott
"“Love art in yourself, and not yourself in art.”",Constantin Stanislavski
"“Find a purpose to serve, not a lifestyle to live.”",Criss Jami
“A winner is a dreamer who never gives up”,Nelson Mandela
"“My heart, which is so full to overflowing, has often been solaced and refreshed by music when sick and weary.”",Martin Luther
“Failures are the stairs we climb to reach success.”,Roy T. Bennett
"“If I had to choose between betraying my country and betraying my friend, I hope I should have the guts to betray my country.”",E.M. Forster
“You can have everything you want if you can put your heart and soul into everything you do.”,Roy T. Bennett
"“I want to continue being crazy; living my life the way I dream it, and not the way the other people want it to be.”",Paulo Coelho
"“If it can be destroyed by the truth, it deserves to be destroyed by the truth.”",Carl Sagan
“Create a vision for the life you really want and then work relentlessly towards making it a reality.”,Roy T. Bennett
“Sometimes I arrive just when God's ready to have somone click the shutter.”,Ansel Adams
"“You know, the mind is a remarkable thing. Just because you can't see the wound doesn't mean it isn't hurting. It scars all the time, but it heals.”",Jodi Picoult
"“If someone does not want me it is not the end of the world. But if I do not want me, the world is nothing but endings.”",Nayyirah Waheed
"“You are never too old to set another goal, or to dream a new dream.”",Les Brown
"“When we blindly adopt a religion, a political system, a literary dogma, we become automatons.”",Anaïs Nin
"“That's everyone's dream, isn't it, really? Instead of many who give you little pieces of themselves-one who gives you everything.”",Cassandra Clare
“What's most important in a friendship? Tolerance and loyalty.”,J.K. Rowling
“Do your best and let God do the rest.”,Ben Carson
“Quiet people have the loudest minds.”,Stephen King
“You should never assume. You know what happens when you assume. You make an ass out of you and me because that's how it's spelled.”,Ellen DeGeneres
“Why are you trying so hard to fit in when you were born to stand out?”,Ian Wallace
“Believe in yourself and there will come a day when others will have no choice but to believe with you.”,Cynthia Kersey
"“To write is human, to edit is divine.”",Stephen King
"“No matter how much experience you have, there’s always something new you can learn and room for improvement.”",Roy T. Bennett
“I'm beginning to think that maybe it's not just how much you love someone. Maybe what matters is who you are when you're with them.”,Anne Tyler
“People would rather believe than know.”,Edward O. Wilson
“Realize deeply that the present moment is all you will ever have.”,Eckhart Tolle
"“It was the moment I realized what music can do to people, how it can make you hurt and feel so good all at once.”",Nina LaCour
"“Do not give way to useless alarm; though it is right to be prepared for the worst, there is no occasion to look on it as certain.”",Jane Austen
"“In the end, just three things matter:

How well we have lived
How well we have loved
How well we have learned to let go”",Jack Kornfield
"“We ask ourselves, who am I to be brilliant, gorgeous, handsome, talented and fabulous? Actually, who are you not to be?”",Marianne Williamson
"“Be where you are, stop over-thinking, and focus on what you are doing.”",Roy T. Bennett
"“To be in your children's memories tomorrow,
You have to be in their lives today.”",Barbara Johnson
“It takes a huge effort to free yourself from memory”,Paulo Coelho
"“...even a tiny bit of deceit is dishonorable when it's used for selfish or cowardly reasons.

- Mr. Penderwick”",Jeanne Birdsall
"“Everyone has his own reality in which, if one is not too cautious, timid or frightened, one swims. This is the only reality there is.”",Henry Miller
"“If a bullet should enter my brain, let that bullet destroy every closet door.”",Harvey Milk
“Arrange whatever pieces come your way.”,Virginia Woolf
“Happiness is a choice that requires effort at times.”,Aeschylus
“Berhenti bercita-cita adalah tragedi terbesar dalam hidup manusia”,Andrea Hirata
"“A man, though wise, should never be ashamed of learning more, and must unbend his mind.”",Sophocles
"“All shall be done, but it may be harder than you think.”",C.S. Lewis
“The man who writes about himself and his own time is the only man who writes about all people and all time.”,George Bernard Shaw
“God save us from religion.”,David Eddings
“Everything changed the day she figured out there was exactly enough time for the important things in her life.”,Brian Andreas
“Nothing's a better cure for writer's block than to eat ice cream right out of the carton.”,Don Roff
"“Everything happens for a reason and, something better will come along for me!”",Selena Gomez
"“Focus on making yourself better, not on thinking that you are better.”",Bohdi Sanders
“What saves a man is to take a step. Then another step.”,Antoine de Saint-Exupéry
"“I hate you.""
I love you.""
You're a freak, you know that? Everyone says so. They always have.""
I'm trying not to be.”",Stephen Chbosky
"“This place is a dream. Only a sleeper considers it real. Then death comes like dawn, and you wake up laughing at what you thought was your grief.”",Rumi
"“It is better for the heart to break, than not to break.”",Mary Oliver
"“A gift is pure when it is given from the heart to the right person at the right time and at the right place, and when we expect nothing in return”",Anonymous
"“Where you stumble and fall, there you will find gold.”",Joseph Campbell
"“Life is short. If you doubt me, ask a butterfly. Their average life span is a mere five to fourteen days.”",Ellen DeGeneres
“WATNEY: Look! A pair of boobs! -> (.Y.).”,Andy Weir
"“When you lose your smile, you lose your way in the chaos of life.”",Roy T. Bennett
“You can only be afraid of what you think you know.”,J. Krishnamurti
"“But in the end it's only a passing thing, this shadow; even darkness must pass.”",J.R.R. Tolkien
“Everything you want is on the other side of fear.”,Jack Canfield
“How satisfying it is to leave a mark on a blank surface. To make a map of my movement - no matter how temporary.”,Craig Thompson
“When they say the sky's the limit to me that's really true”,Michael Jackson
“Light a candle instead of cursing the darkness.”,Eleanor Roosevelt
"“I was born into Bolívar's labyrinth, and so I must believe in the hope of Rabelais' Great Perhaps.”",John Green
“Your Life Is Happening Right Now: Don't let procrastination take over your life. Be brave and take risks. Your life is happening right now.”,Roy T. Bennett
"“Am I weird?""

""Yeah. But so what? Everybody's weird.”",Stephen King
“You can't find someone who doesn't want to be found.”,Isabel Allende
"“To invent your own life's meaning is not easy, but it's still allowed, and I think you'll be happier for the trouble.”",Bill Watterson
“Pac said Thug Life stood for 'The Hate U Give Little Infants Fucks Everybody'.”,Angie Thomas
"“Know from whence you came. If you know whence you came, there are absolutely no limitations to where you can go.”",James Baldwin
"“When obstacles arise, you change your direction to reach your goal; you do not change your decision to get there.”",Zig Ziglar
"“Never let a problem to be solved, become more important than a person to be loved.”",Thomas S. Monson
"“Don't waste your energy trying to change opinions ... Do your thing, and don't care if they like it.”",Tina Fey
"“If you care about something enough, you'll find a way to make it happen.”",Roy T. Bennett
“It's your life-but only if you make it so.”,Eleanor Roosevelt
“A thousand words leave not the same deep impression as does a single deed.”,Henrik Ibsen
“It's a lie to think you're not good enough. It's a lie to think you're not worth anything.”,Nick Vujicic
"“No matter how hard life is, don't lose hope”",Zayn Malik
“Everything stinks till it’s finished.”,Dr. Seuss
“To overcome fear is the quickest way to gain your self-confidence.”,Roy T. Bennett
“I’ve gotta get out of the basement. I’ve gotta see the world. I’ve gotta make a difference”,Gerard Way
“Be careful the stories you're telling yourself about your current circumstances; a head full of negative thoughts has no space for positive ones.”,Roy T. Bennett
"“Be not angry that you cannot make others as you wish them to be, since you cannot make yourself as you wish to be.”",Thomas à Kempis
“The greatest day in your life and mine is when we take total responsibility for our attitudes. That's the day we truly grow up.”,John C. Maxwell
“Your own Self-Realization is the greatest service you can render the world.”,Ramana Maharshi
"“These mountains that you are carrying, you were only supposed to climb.”",Najwa Zebian
“There is no failure except in no longer trying.”,Elbert Hubbard
"“Yoga is not a religion. It is a science, science of well-being, science of youthfulness, science of integrating body, mind and soul.”",Amit Ray
“I'm not going to limit myself just because people won't accept the fact that I can do something else.”,Dolly Parton
"“life is truly known only to those who suffer, lose, endure adversity, & stumble from defeat to defeat.”",anaïs nin
"“I don’t chase after anyone, If you wanna walk out of my life, then I’ll hold the fucking door open for you.”",Wiz Khalifa
“Every problem is a gift - without problems we would not grow.”,Anthony Robbins
"“Talent is a gift, but character is a choice.”",John C. Maxwell
"“There's some good in this world, Mr. Frodo, and it's worth fighting for.”",J. R. R. Tolkien
“We are the cosmos made conscious and life is the means by which the universe understands itself.”,Brian Cox
“My only regrets are the moments when i doubted myself and took the safe route. Life is too short to waste time being unhappy.”,Dan Howell
"“A man may die, nations may rise and fall, but an idea lives on. Ideas have endurance without death.”",John F. Kennedy
“You've got to show the world who you are before it tells you. Otherwise you become victim to someone you're not.”,Chris Colfer
“The deeds you do may be the only sermon some persons will hear today”,St. Francis Of Assisi
“Perfect is the enemy of good.”,Voltaire
"“If you are under the impression you have already perfected yourself, you will never rise to the heights you are no doubt capable of.”",Kazuo Ishiguro
"“Argue for your limitations and, sure enough, they're yours.”",Richard Bach
"“The trick is to enjoy life. Don't wish away your days, waiting for better ones ahead.”",Marjorie Pay Hinckley
"“Finding one important thing in your life doesn’t mean you have to
give up all the other important things.”",Paulo Coelho
"“Lord, grant me the strength to accept the things I cannot change,
the courage to change the things I can,
and the wisdom to know the difference.”",Reinhold Niebuhr
"“Find the things that matter, and hold on to them, and fight for them, and refuse to let them go.”",Lauren Oliver
“Rise to the occassion which is life!”,Virginia Euwer Wolff
“All worthy work is open to interpretations the author did not intend. Art isn't your pet -- it's your kid. It grows up and talks back to you.”,Joss Whedon
“Normalness leads to sadness.”,Phil Lester
"“Although my memory's fading, I remember two things very clearly: I am a great sinner and Christ is a great Savior.”",John Newton
"“Two wrongs don't make a right, but don't three lefts make a right? Two wrongs don't make a right, but don't two negatives make a positive?”",Andrew Clements
“Hard work beats talent when talent fails to work hard.”,Kevin Durant
“Fault always lies in the same place: with him weak enough to lay blame.”,Stephen King
“It does not matter how slowly you go so long as you do not stop.”,Andy Warhol
“I am the captain of my soul.”,Nelson Mandela
“Accepting oneself does not preclude an attempt to become better.”,Flannery O'Connor
"“Il n'y a de réalité que dans l'action.

(There is no reality except in action.)”",Jean-Paul Sartre
"“Life is going to give you just what you put in it. Put your whole heart in everything you do, and pray, then you can wait.”",Maya Angelou
"“Rules for happiness: something to do, someone to love, something to hope for.”",Immanuel Kant
“Your own positive future begins in this moment. All you have is right now. Every goal is possible from here.”,Lao Tzu
"“Fear tends to come from ignorance. Once I knew what the problem was, it was just a problem, nothing to fear.”",Patrick Rothfuss
“Complain and remain. Praise and be raised.”,Joyce Meyer
"“Life is ours to be spent, not to
be saved.”",D.H. Lawrence
"“You have to be the bravest person in the world to go out every day, being yourself when no one likes who you are.”",Matthew Dicks
